,Name,lon,lat,CEAZAMAR,REGION
68,SAN_PEDRO_DE_CONCON,-71.51823351874923,-32.91884117093211,True,VALPARAISO
69,HIGUERILLAS,-71.53867776788445,-32.92998813395543,True,VALPARAISO
70,MONTEMAR,-71.54973575351951,-32.95670503533346,True,VALPARAISO
71,VALPARAISO_EL_MEMBRILLO,-71.63254311998418,-33.0221503621375,True,VALPARAISO
72,VALPARAISO_PORTALES,-71.59005921811544,-33.03114588213145,True,VALPARAISO
73,LAGUNA_VERDE,-71.673720735397,-33.10244290680615,True,VALPARAISO
74,QUINTAY,-71.69947225196583,-33.19378214494291,True,VALPARAISO
75,TUNQUEN,-71.6617,-33.289524,True,VALPARAISO
76,ALGARROBO,-71.67306986616774,-33.36358777442481,True,VALPARAISO
77,EL_QUISCO,-71.69803819587887,-33.39434118697895,True,VALPARAISO
78,EL_TABO,-71.668197,-33.460137,True,VALPARAISO
79,LAS_CRUCES,-71.62897774929702,-33.50022799598304,True,VALPARAISO
80,CARTAGENA,-71.61422133168102,-33.55116150692668,True,VALPARAISO
81,SAN_ANTONIO,-71.61537216476202,-33.58152098341771,True,VALPARAISO
82,SANTO_DOMINGO,-71.62249509773207,-33.6192209832673,True,VALPARAISO
